fruta,ficheiro,R,G,B,hue,saturacao,valor,area,perimetro,aspect_ratio,circularidade
PEACHES,P36.JPG,227.49,173.6,69.72,39.42,176.1,227.49,55652.5,935.13,1.12,0.8
ORANGES,O01.JPG,194.36,137.28,43.85,37.12,195.93,194.36,59079.0,966.0,0.96,0.8
ORANGES,O02.JPG,208.88,152.78,35.44,40.75,209.49,208.89,65357.0,974.15,1.0,0.87
ORANGES,O03.JPG,222.18,151.92,43.35,36.2,204.4,222.18,62404.0,963.03,0.94,0.85
ORANGES,O04.JPG,216.85,152.59,43.42,37.43,203.11,216.85,64848.0,977.38,0.94,0.85
ORANGES,O05.JPG,199.35,127.34,28.67,34.42,217.61,199.35,63325.5,978.93,0.93,0.83
ORANGES,O06.JPG,208.92,138.95,41.74,34.82,203.34,208.92,62117.5,967.48,0.93,0.83
ORANGES,O07.JPG,217.15,146.95,56.19,33.47,187.95,217.15,62263.0,957.52,0.94,0.85
ORANGES,O08.JPG,209.49,144.06,43.55,36.23,201.13,209.49,67233.5,1016.53,0.97,0.82
ORANGES,O09.JPG,209.61,134.01,46.04,32.16,197.89,209.61,58412.5,951.76,0.93,0.81
ORANGES,O10.JPG,207.85,130.73,45.03,31.56,198.79,207.85,55344.0,915.44,0.95,0.83
ORANGES,O11.JPG,207.81,145.28,43.66,36.94,200.43,207.81,62054.0,963.03,0.94,0.84
ORANGES,O12.JPG,195.02,132.67,44.59,35.15,195.28,195.02,55688.5,914.16,0.94,0.84
ORANGES,O13.JPG,197.15,149.07,32.03,42.26,212.4,197.15,58692.5,941.96,0.97,0.83
ORANGES,O14.JPG,199.78,142.77,31.44,39.75,213.79,199.78,60622.0,956.06,0.98,0.83
ORANGES,O15.JPG,208.62,135.55,42.9,33.36,201.42,208.62,59143.0,931.38,0.96,0.86
